Secuencias (1977), https://dl.dropboxusercontent.com/s/ahx0id3mxo481au51gnyn/Secuencias-1977.aif?rlkey=b4s3glyuddpmqj6t0syt683w5&dl=0, Secuencias (1977),
Portrai du matin (1986), https://dl.dropboxusercontent.com/scl/fi/r47xeu1gw2lhd7247cfms/Portrait-du-matin-CARA-A.wav?rlkey=npqha8rqyc08y82he1i7gf6nb&dl=0, Portrai du matin (1986),
La Lyre du Désert (1988), https://dl.dropboxusercontent.com/scl/fi/ps8a9nrxdem6rv0w9ce82/La-Lyre-du-D-sert-1988.aif?rlkey=ofzubd43dozh6jomj7hb2s3w6&dl=0, La Lyre du Désert (1988),
Agua ardiente (1988), https://dl.dropboxusercontent.com/scl/fi/m95a2g85nxvjl9soilkzd/Agua-ardiente-1988.aif?rlkey=r99vp4dqyuiwgyiks3rw5vsqr&dl=0, Agua ardiente (1988),
Les Adieux (1988) Mov.1, https://dl.dropboxusercontent.com/scl/fi/pn5eq2ymc4xhppyjszyl7/Mov.1-Adieux-Commentaire.aiff?rlkey=x6rkoe77s2458dineqrpbvf64&dl=0, Mov.1 Adieux-Commentaire, 
Les Adieux (1988) Mov.2, https://dl.dropboxusercontent.com/scl/fi/mszql8in0ii8r0qintkhb/Mov.2-Espero-A-Palavra-Branca.aiff?rlkey=xjasbtxchhrzd9dj1hj37x38t&dl=0, Mov.2 Espero A Palavra Branca, 
Les Adieux (1988) Mov.3, https://dl.dropboxusercontent.com/scl/fi/ob9f235p3qvrp4bhg4ypm/Mov.3-Nobilissima-Visione.aiff?rlkey=nj79z4ydxmeao5jzcgdzo6ni0&dl=0, Mov.3 Nobilissima Visione,
Les Adieux (1988) Mov.4, https://dl.dropboxusercontent.com/scl/fi/qjm3ckp1ziltgq994rbpj/Mov.4-Je-Ne-Confond-Pas-La-Solitude-Avec-La-Lyre-Du-D-sert.aiff?rlkey=khc3rge7kh4jzpdxfu3zoad03&dl=0, Mov.4 Je Ne Confond Pas La Solitude Avec La Lyre Du Désert,
Música para la III Fotobienal (1988), https://dl.dropboxusercontent.com/scl/fi/40vrqkftyiv8f8pvscdpn/M-sica-para-la-III-Fotobienal-1988.aif?rlkey=oog9rllu338k0g26sk6tody4i&dl=0, Música para la III Fotobienal (1988),
Cadências e Interlúdios / Percurso I (1989–1992), https://dl.dropboxusercontent.com/scl/fi/li5zm90mkqq05l4pl8dpr/4-Cad-ncias-e-Interl-dios-Percurso-I.aiff?rlkey=g6s76utvlm9bqg9k6l8k191q4&dl=0, Cadências e Interlúdios / Percurso I (1989–1992),
Nobilissima Visione II / Postludios (1988–1991) Mov.1 Preludi, https://dl.dropboxusercontent.com/scl/fi/nftry3jh594xpk0hvfhos/1-Nobilissima-Visione-II-Postludios-Preludi.aiff?rlkey=ieid6qitvqo8am3oqdkomceqt&dl=0, Nobilissima Visione II / Postludios (1988–1991) Mov.1 Preludi,
Nobilissima Visione II / Postludios (1988–1991) Mov.2 Ludi, https://dl.dropboxusercontent.com/scl/fi/8ysjrbng8nkkou8hqch4f/2-Nobilissima-Visione-II-Postludios-Ludi.aiff?rlkey=zp3dcxnqf2vzdjf3cnadze43z&dl=0, Nobilissima Visione II / Postludios (1988–1991) Mov.2 Ludi,
Nobilissima Visione II / Postludios (1988–1991) Mov.3 Postludios, https://dl.dropboxusercontent.com/scl/fi/2cy7ilxiu6uxvb75ft4ot/3-Nobilissima-Visione-II-Postludios-Postludios.aiff?rlkey=vp5dvutenzdwe87qfci9vim4n&dl=0, Nobilissima Visione II / Postludios (1988–1991) Mov.3 Postludios,
Duplo (1991), https://dl.dropboxusercontent.com/scl/fi/hf3kxaf2u292ses8yd7ba/Duplo.aiff?rlkey=831kw7gjyxu1paemuzxhdn495&dl=0, Duplo (1991),
PREUBA, https://dl.dropboxusercontent.com/s/s3voptambnl9a6fklypa4/PRUEBA.WAV?rlkey=fquqbimzd7bof2fzre69vekjy&dl=0, Eliminar,
